gvkey,sec_ajexm,sec_ajpm,sec_trfm_mean,sec_trfm_std,sec_trt1m_mean,sec_trt1m_std
178838,1.0,1.0,1.6923250244594814,0.2729366204465953,0.33740142760531666,18.48830153243814
178859,0.7616666666666666,0.7616666666666666,1.0,0.0,7.320184126590959,57.58958624808065
179147,1.0,1.0,1.0,0.0,107.49608091713355,337.031789192588
179358,1.0,1.0,1.0,0.0,-4.9160302531996045,34.611728446536105
179621,1.0,1.0,1.195058960018065,0.06326065308970483,1.5530680503107717,5.745597281612123
179624,0.9722222222222222,0.9722222222222222,1.0,0.0,0.6016183441109301,22.931236128775456
179645,1.0,1.0,1.0,0.0,0.5264538575609075,3.648572846391391
179681,0.14999999999999997,0.14999999999999997,1.0,0.0,103.38854479064845,714.6433080533114
179700,1.0,1.0,1.0716658674596626,0.043521764818481766,1.7240183141990135,4.931986227511951
179823,1.0,1.0,1.0,0.0,5.71580680713606,42.095463947719615
179894,0.6683333333333334,0.6683333333333334,1.0,0.0,-5.009379839610936,44.091053913015514
179895,1.0,1.0,1.0,0.0,-0.9028694129656619,12.882790342152678
180026,1.0,1.0,1.0,0.0,0.5165658190889277,53.65998359485981
180440,1.0,1.0,1.0,0.0,83.33333333333333,258.78504008094626
180833,1.0,1.0,1.0547871214218967,0.02252027030873556,1.7269021189375755,5.990331796361671
180866,0.13962962962962966,0.13962962962962966,1.0,0.0,24.996822739038763,124.65569229828661
181614,1.0,1.0,1.0,0.0,83.16573370974743,545.1563448502052
181970,1.0,1.0,1.0,0.0,0.5714684193792399,40.892341712348546
182497,1.0,1.0,1.0,0.0,0.2046667692072219,6.259421070664537
182638,3.6481481481481484,3.6481481481481484,1.0,0.0,9.533859549995796,61.457605391293136
182642,1.0,1.0,1.0,0.0,1.0719883564711141,18.920912682299562
183126,1.0,1.0,1.0,0.0,1853.8820861678005,12840.853339150643
183145,1.0,1.0,1.0,,0.0,
183154,1.0,1.0,1.0,0.0,13.685294117647066,96.80429586168273
183156,1.0,1.0,1.0,0.0,15.285068073893065,83.0306675146532
183315,1.0,1.0,1.0,0.0,3.661290155964963,30.930354739535723
183447,1.0,1.0,1.0,0.0,14.673057285737547,86.3276976693357
183449,1.0,1.0,1.0,0.0,-5.0,15.811388300841896
183471,1.0,1.0,1.0937288135593215,0.0,0.5159760697410581,17.592055016802576
183478,1.0,1.0,1.0,0.0,6.447099534986995,65.49452136649313
183479,1.0,1.0,1.0,0.0,-3.9879651617368705,42.74963042705254
183496,1.0,1.0,1.0,0.0,-2.5772259445075583,22.484799728103994
183499,1.0,1.0,1.0,0.0,2.721088435374149,30.30457633656632
183505,0.742037037037037,0.742037037037037,1.0,0.0,37.5817628579862,211.91743189117008
183755,1.0,1.0,1.0,0.0,17.483902685635183,123.33744990523778
183785,1.0,1.0,1.0,0.0,4.67101249223428,54.93429325849441
183998,6.0638297872340425,6.0638297872340425,1.0,0.0,157.8015738177405,1054.5817715691219
184052,1.0,1.0,1.0,0.0,-5.195844128557486,18.147783061823993
184259,1.0,1.0,1.0,0.0,2.0114312692132277,12.699498238683052
184312,0.3014814814814815,0.3014814814814815,1.0,0.0,8.824121104249523,45.31269009755478
184339,0.46,0.46,1.0,0.0,-0.6107924661675483,12.96472767869723
184378,0.3780910096226415,0.3780910096226415,1.0,0.0,220.00832850979896,1581.8225086561968
184526,1.0,1.0,1.0,0.0,0.3614703262769375,21.84589847625716
184527,1.0,1.0,1.0,0.0,0.5500339590686182,20.1948239768329
184761,1.0,1.0,1.0,0.0,-0.5305036914841865,10.59406961946345
184767,1.0,1.0,1.0,0.0,0.8664162372494976,22.776805279490336
184807,1.0,1.0,1.0,0.0,0.20084954855534048,8.859368794095804
184897,0.3594117647058823,0.3594117647058823,1.0,0.0,12.39962695423423,80.5368164531705
185083,1.0,1.0,1.0,0.0,-6.046779778360678,19.860320704698864
185334,1.0,1.0,1.0168576478555047,0.012341476955774583,2.9392853206553697,3.0377964254792755
185361,1.0,1.0,1.0,0.0,-6.270554860042292,33.187354302762024
185571,0.11836734693877549,0.11836734693877549,1.0,0.0,-1.309687074062761,25.15171069955727
185580,1.0,1.0,1.0,0.0,-4.888711595163699,20.114423322998157
185622,1.1515151515151516,1.1515151515151516,1.0,0.0,-5.166365081211218,37.5211765751555
185627,1.0,1.0,1.0,0.0,61.19453100760563,333.4028116761014
185699,1.0,1.0,1.0,0.0,-2.0725302347465235,10.421244851824177
185793,0.8957944444444444,0.8957944444444444,1.0,0.0,2.4718943724205604,31.849574081003208
185807,1.0,1.0,1.0,0.0,-3.143755646216657,21.763665034104314
185885,0.1983695652173913,0.1983695652173913,1.0,0.0,-9.231616979453156,43.6868390540787
185904,1.0,1.0,1.0,0.0,18.21858231116411,81.36046690477218
185920,1.0,1.0,1.0,0.0,7.486051329368424,74.30092649964928
186231,1.0,1.0,1.0,0.0,-1.9239949727982413,43.47387371724874
186250,10.209302325581396,10.209302325581396,1.0,0.0,19.74794005182126,97.25917865790254
186264,1.0,1.0,1.0,0.0,76.07590353214455,533.1881133268555
186275,1.0,1.0,1.0,0.0,-0.3357173997213395,8.604355869581635
186327,1.1595744680851063,1.1595744680851063,1.0,0.0,140.5538107459859,968.774413993913
186362,1.0,1.0,1.0,0.0,-2.667891744829907,21.748019751849867
186389,1.0,1.0,1.0,0.0,1.3833614305842503,23.755439031663233
186395,1.0,1.0,1.0,0.0,-3.7517180383340176,61.99124498959994
186657,0.2425,0.23275,1.0,0.0,-4.048037513777069,56.59972117305708
186658,1.0,1.0,1.0,0.0,26.903948819824617,180.96933960978012
186662,1.0,1.0,1.0,0.0,-7.631898177858409,34.36559108670759
186684,1.0,1.0,1.0,0.0,-10.110259659319855,48.822639878878434
186772,1.0,1.0,1.0,0.0,8.019729342494218,95.00816593013798
186885,2.2564102564102564,2.2564102564102564,1.0,0.0,68.08142926672916,449.04955539870934
186960,1.0,1.0,1.0,0.0,1.0022406175317344,12.057168984195807
187142,16.09375,16.09375,1.0,0.0,17.389020933430164,108.21856688343341
187348,0.45526315789473687,0.45526315789473687,1.0,0.0,3.7587785654242234,57.266698148262726
187364,1.0,1.0,1.0134915482669125,0.019633668659509402,-0.027114233780295108,27.582400594422406
187589,1.0,1.0,1.0,0.0,-14.54178579718135,32.39548700333642
187649,1.0,1.0,1.0,0.0,0.11148404599769428,15.73452409827655
