gvkey,rat_datadate,rat_spcsrc
127644,42,0.0
129438,43,0.0
130298,46,2.0
130638,46,0.0
133367,54,5.0
133428,3,0.0
135346,6,0.0
137884,46,2.0
139134,46,0.0
139161,46,0.0
141037,46,1.0
141038,31,0.0
141467,21,0.0
142024,3,0.0
142646,46,0.0
142953,54,5.0
144040,41,0.0
144296,46,0.0
144343,46,0.0
144382,46,0.0
144383,46,0.0
144435,54,0.0
146139,54,8.0
146204,21,0.0
146564,36,0.0
147175,54,8.0
147202,18,0.0
147308,46,0.0
147708,46,6.0
147855,15,0.0
147856,46,0.0
148276,54,0.0
148278,19,0.0
148429,46,0.0
148792,11,0.0
149379,46,0.0
149662,46,0.0
149762,46,0.0
150049,20,0.0
151161,44,3.0
154154,46,0.0
157875,46,0.0
158133,46,0.0
158743,46,0.0
160163,30,1.0
160196,46,0.0
160362,46,0.0
160381,28,0.0
160477,46,0.0
160742,46,3.0
162517,42,0.0
162940,46,0.0
163136,28,0.0
163579,46,0.0
163626,54,0.0
163627,52,0.0
163887,46,4.0
163983,54,0.0
164182,46,0.0
164275,46,0.0
164342,46,0.0
164408,54,0.0
164700,46,3.0
165124,46,0.0
165360,20,0.0
165486,46,0.0
165510,46,0.0
165691,46,0.0
165702,46,0.0
165829,46,0.0
165832,28,1.0
166312,41,0.0
170527,29,0.0
170853,4,2.0
175269,46,0.0
175399,3,0.0
175487,46,0.0
175983,36,0.0
176161,46,0.0
176378,46,0.0
176554,46,0.0
177602,46,0.0
177674,38,0.0
177795,21,0.0
178317,46,0.0
178413,46,0.0
178795,46,0.0
178838,46,0.0
179621,54,0.0
179624,42,0.0
179645,44,0.0
179700,54,0.0
179846,16,0.0
179894,24,0.0
179895,35,0.0
180833,54,0.0
180866,32,0.0
182497,46,0.0
183471,27,0.0
183635,54,0.0
183755,25,0.0
183998,15,0.0
184259,18,0.0
184339,18,0.0
184526,12,0.0
184527,16,0.0
184761,18,0.0
184767,17,0.0
184807,12,0.0
185083,17,0.0
185334,30,0.0
185361,16,0.0
185580,41,0.0
185699,13,0.0
185793,13,0.0
185807,13,0.0
186250,11,0.0
186275,10,0.0
186327,15,0.0
186362,10,0.0
186658,8,0.0
186772,46,0.0
186885,7,0.0
186960,4,0.0
187364,5,0.0
187649,4,0.0
187659,4,0.0
187665,4,0.0
187742,1,0.0
189255,2,0.0
190262,3,0.0
199456,29,0.0
201140,46,0.0
205677,18,0.0
205942,54,0.0
209418,46,0.0
212773,54,0.0
221261,46,0.0
221545,46,0.0
222519,54,0.0
241637,28,0.0
264393,46,0.0
272705,49,0.0
277487,14,0.0
