,tic,lawsuit,SettlementAmount,Dismissed
920,NFLX,1,,Yes
921,NFP,1,,Yes
922,NG,1,28000000.0,No
923,NGSX,1,,Ongoing
924,NHWK,1,650000.0,No
925,NICK,1,,Yes
926,NIHD,1,,Ongoing
927,NIV,1,,Yes
928,NJR,1,,Yes
929,NLMP,1,1000000.0,No
930,NLST,1,2600000.0,No
931,NOK,1,,Ongoing
932,NOVL,1,,Yes
933,NPSP,1,15000000.0,No
934,NQ,1,,Ongoing
935,NR,1,9240000.0,No
936,NRGP,1,,Yes
937,NSIT,1,,Yes
938,NSM,1,,Ongoing
939,NSR,1,,Yes
940,NSTC,1,,Yes
941,NSU,1,,Ongoing
942,NT,1,,Ongoing
943,NTBK,1,12500000.0,No
944,NTE,1,,Yes
945,NTRI,1,,Yes
946,NTRS,1,,Yes
947,NTRZ,1,1500000.0,No
948,NTWK,1,,Ongoing
949,NTY,1,6000000.0,No
950,NURO,1,,Yes
951,NUS,1,,Ongoing
952,NUVA,1,,Ongoing
953,NUVO,1,,No
954,NVDA,1,,Yes
955,NVEC,1,,Yes
956,NVIV,1,,Yes
957,NVLT,1,,Yes
958,NVS,1,,Yes
959,NVTL,1,16000000.0,No
960,NWAC,1,,Yes
961,NWBEX,1,1150000.0,No
962,NWBO,1,1000000.0,Ongoing
963,NWPX,1,,No
964,NWS,1,,Ongoing
965,NYMX,1,,Ongoing
966,New York,1,280000000.0,Ongoing
967,OCA,1,6500000.0,No
968,OCLR,1,3700000.0,No
969,OCN,1,,Ongoing
970,OCNF,1,,Yes
971,OCNW,1,12660000.0,No
972,OCPN,1,,No
973,OCR,1,,Yes
974,OCZ,1,7500000.0,No
975,ODP,1,,Yes
976,OFIX,1,,Ongoing
977,OMCL,1,,Yes
978,OMNI,1,,NO
979,OMX,1,,Yes
980,ONDK,1,,Ongoing
981,ONE,1,,Ongoing
982,ONJAX,1,,Ongoing
983,ONP,1,2000000.0,No
984,OPATX,1,,Ongoing
985,OPBL,1,,Yes
986,OPCAX,1,,Yes
987,OPCHX,1,52500000.0,No
988,OPIGX,1,47500000.0,No
989,OPNYX,1,17109000.0,No
990,OPTAX,1,,Ongoing
991,OPTI,1,,Yes
992,OPTT,1,,Yes
993,OPWV,1,20000000.0,No
994,OPX,1,2350000.0,No
995,OPXT,1,2000000.0,No
996,OPY,1,,Ongoing
997,ORA,1,3100000.0,No
998,ORBC,1,2450000.0,No
999,ORCH,1,,Yes
1000,OREX,1,,Ongoing
1001,ORNAX,1,,Ongoing
1002,ORNG,1,1400000.0,No
1003,ORPH,1,,Yes
1004,ORRF,1,,Ongoing
1005,OSG,1,,Ongoing
1006,OSIS,1,,Ongoing
1007,OSK,1,,Yes
1008,OTC-BB,1,40000000.0,No
1009,OVAS,1,,Ongoing
1010,OVTI,1,,Ongoing
1011,OZM,1,,Ongoing
1012,Open-end,1,54500000.0,No
1013,Other Fo,1,84600000.0,No
1014,PAA,1,,Ongoing
1015,PACB,1,,Yes
1016,PARL,1,,Yes
1017,PARS,1,7000000.0,No
1018,PAY,1,95000000.0,Ongoing
1019,PBH,1,,No
1020,PBI,1,,Yes
1021,PBR,1,,Ongoing
1022,PBYI,1,,Ongoing
1023,PCBC,1,,Yes
1024,PCQ,1,,Yes
1025,PCR,1,,Yes
1026,PCRX,1,,Ongoing
1027,PCS,1,,Yes
1028,PCSV,1,665000.0,No
1029,PCX,1,,Yes
1030,PDCO,1,,Yes
1031,PDE,1,,Yes
1032,PDGI,1,,Yes
1033,PDLI,1,,Ongoing
1034,PENN,1,,Yes
1035,PETC,1,20250000.0,No
1036,PETD,1,,Ongoing
1037,PFE,1,,Ongoing
1038,PFFBQ,1,8250000.0,No
1039,PGEM,1,,Ongoing
1040,PGIC,1,2800000.0,No
1041,PGN,1,,Yes
1042,PGTV,1,2950000.0,No
1043,PGWC,1,,Yes
1044,PHH,1,,Yes
1045,PHMD,1,,Ongoing
1046,PHOT,1,,Ongoing
1047,PHR,1,16500000.0,No
1048,PIR,1,,Ongoing
1049,PIXR,1,,Yes
1050,PLB,1,3500000.0,No
1051,PLCE,1,12000000.0,No
1052,PLCM,1,,Ongoing
1053,PLL,1,22500000.0,No
1054,PLXS,1,,Yes
1055,PME,1,,Ongoing
1056,PMI,1,31250000.0,No
1057,PMTR,1,,No
1058,PNSN,1,6500000.0,No
1059,PNX,1,,Ongoing
1060,PODD,1,,Yes
1061,POOSF,1,,Ongoing
1062,POSS,1,,Yes
1063,POT,1,,Yes
1064,POWR,1,,Ongoing
1065,POZN,1,,Yes
1066,PPC,1,1500000.0,No
1067,PPCO,1,,Yes
1068,PPHM,1,,Yes
1069,PQE,1,20000000.0,No
1070,PRGO,1,,no
1071,PRMW,1,,Yes
1072,PRSS,1,,Ongoing
1073,PRST,1,1250000.0,No
1074,PRTS,1,10000000.0,No
1075,PRU,1,,Ongoing
1076,PRX,1,8100000.0,Yes
1077,PRZ,1,2000000.0,No
1078,PSEC,1,,Yes
1079,PSS,1,,Yes
1080,PSYS,1,,Yes
1081,PTEC,1,,Yes
1082,PTIE,1,,Ongoing
1083,PTMK,1,,Yes
1084,PTR,1,,Ongoing
1085,PUDA,1,,Ongoing
1086,PVCT,1,,Ongoing
1087,PVFC,1,,Ongoing
1088,PVG,1,,Ongoing
1089,PVR,1,,Ongoing
1090,PVTB,1,,Yes
1091,PWAV,1,3150000.0,Ongoing
1092,PWE,1,,Ongoing
1093,PWER,1,,Ongoing
1094,PXPL,1,1000000.0,No
1095,PXT,1,,Yes
1096,PYMX,1,,Ongoing
1097,PZN,1,,Yes
1098,Privatel,1,315000000.0,Ongoing
1099,QCOR,1,,Ongoing
1100,QEPM,1,,Ongoing
1101,QNTA,1,,Yes
1102,QRCP,1,10100000.0,No
1103,QRXPY,1,,Ongoing
1104,QSFT,1,29400000.0,No
1105,QSII,1,,Ongoing
1106,QXM,1,,Yes
1107,RACK,1,,Yes
1108,RAE,1,,Yes
1109,RAS,1,32000000.0,No
1110,RATE,1,,Ongoing
1111,RBCN,1,,Ongoing
1112,RBN,1,,Yes
1113,RBS,1,,Yes
1114,RCAP,1,,Ongoing
1115,RCL,1,,Yes
1116,RCOCQ,1,2075000.0,No
1117,RDN,1,,Yes
1118,REP,1,8000000.0,No
1119,RESN,1,,Ongoing
1120,REV,1,,Yes
1121,REVU,1,,Yes
1122,RF,1,,Ongoing
1123,RF.PRZ,1,,Yes
1124,RFX,1,49500000.0,No
1125,RGDO,1,,Ongoing
1126,RGF,1,39000000.0,No
1127,RGR,1,3000000.0,No
1128,RHA,1,,No
1129,RHD,1,25000000.0,No
1130,RHIE,1,2500000.0,No
1131,RHY,1,62000000.0,No
1132,RIG,1,,Yes
1133,RIGL,1,,Yes
1134,RIMM,1,,Yes
1135,RINO,1,7000000.0,No
1136,RJF,1,,Yes
1137,RLRN,1,,Yes
1138,RM,1,,Ongoing
1139,RMBS,1,18333313.0,No
1140,RMUNX,1,,Ongoing
1141,RNA,1,,Yes
1142,RNR,1,13500000.0,No
1143,ROKA,1,,Ongoing
1144,ROYT,1,,Yes
1145,RPC,1,2500000.0,No
1146,RPRX,1,,Yes
1147,RRGB,1,1500000.0,No
1148,RSH,1,,Yes
1149,RSO,1,,Ongoing
1150,RST,1,,Yes
1151,RSVM,1,,Yes
1152,RT,1,,Ongoing
1153,RTK,1,1800000.0,No
1154,RTNB,1,,Ongoing
1155,RTRX,1,,Ongoing
1156,RUKN,1,,Yes
1157,RUSS,1,,Yes
1158,RVNC,1,,Ongoing
1159,RY,1,,Yes
1160,RYAM,1,,Ongoing
1161,RYJAX,1,5500000.0,No
1162,RYN,1,,Ongoing
1163,RYPYX,1,,Ongoing
1164,RZTIQ,1,,Yes
1165,S,1,,Ongoing
1166,S.D. New,1,27100000.0,Ongoing
1167,SAF,1,,Yes
1168,SAI,1,,Ongoing
1169,SATC,1,3000000.0,No
1170,SAY,1,125000000.0,No
1171,SBAY,1,,Ongoing
1172,SBL,1,,Yes
1173,SC,1,,Ongoing
1174,SCA,1,,Yes
1175,SCEI,1,2000000.0,No
1176,SCGLY.PK,1,,Yes
1177,SCHL,1,,Yes
1178,SCLN,1,,Yes
1179,SCR.A,1,,Yes
1180,SCT,1,37500000.0,No
1181,SCTY,1,,Ongoing
1182,SCUR,1,3600000.0,No
1183,SD,1,,Ongoing
1184,SDA,1,27000000.0,No
1185,SDRL,1,,Ongoing
1186,SDT,1,,Ongoing
1187,SDTH,1,,Ongoing
1188,SEAS,1,,Ongoing
1189,SF,1,,Yes
1190,SFCC,1,28500000.0,No
1191,SFI,1,29000000.0,No
1192,SFNT,1,25000000.0,No
1193,SFSF,1,,
1194,SGLP,1,28000000.0,No
1195,SGN,1,4000000.0,No
1196,SGR,1,,Yes
1197,SGY,1,10500000.0,No
1198,SHFL,1,13000000.0,No
1199,SHLD,1,,Yes
1200,SHLO,1,,Ongoing
1201,SHPG,1,,Ongoing
1202,SHRP,1,,Yes
1203,SHSN,1,,Yes
1204,SHU,1,,Yes
1205,SI,1,,Yes
1206,SIHI,1,,Ongoing
1207,SIMG,1,,Yes
1208,SINA,1,,Yes
1209,SIPX,1,6000000.0,No
1210,SKH,1,3000000.0,No
1211,SLFI,1,10250000.0,No
1212,SLV,1,,Yes
1213,SLW,1,,Ongoing
1214,SLXP,1,,Ongoing
1215,SMCI,1,,Ongoing
1216,SMSI,1,,Yes
1217,SMT,1,15250000.0,No
1218,SMTB,1,,Yes
1219,SMTC,1,,NO
1220,SNCR,1,,Yes
1221,SNDK,1,,Ongoing
1222,SNG,1,5200000.0,No
1223,SNIC,1,5000000.0,No
1224,SNR,1,,Yes
1225,SNRR,1,8000000.0,No
1226,SNV,1,,Ongoing
1227,SNY,1,40000000.0,Ongoing
1228,SOLN,1,1098500.0,No
1229,SOLR,1,10500000.0,No
1230,SON,1,13000000.0,NO
1231,SONS,1,,Ongoing
1232,SPC,1,,Yes
1233,SPDV,1,,Yes
1234,SPEC,1,,Yes
1235,SPF,1,,Yes
1236,SPNC,1,8500000.0,Ongoing
1237,SPNG,1,,Ongoing
1238,SPPI,1,,Ongoing
1239,SPR,1,,Ongoing
1240,SPU,1,2200000.0,No
1241,SPWRA,1,19700000.0,No
1242,SQM,1,,Ongoing
1243,SQNM,1,14000000.0,No
1244,SQNS,1,2250000.0,No
1245,SRLS,1,3000000.0,No
1246,SRPT,1,,Ongoing
1247,SRQ,1,,Yes
1248,SRS,1,,Yes
1249,SRT,1,7500000.0,No
1250,SRV,1,,No
1251,SRVY,1,4000000.0,No
1252,SRX,1,,Ongoing
1253,SRZ,1,13500000.0,No
1254,SSCC,1,,Yes
1255,SSINX,1,,Yes
1256,SSTI,1,,Yes
1257,SSYPX,1,,Yes
1258,SSYS,1,,Ongoing
1259,STAA,1,,Ongoing
1260,STEC,1,35750000.0,No
1261,STI,1,,Yes
1262,STIZ,1,,Yes
1263,STJ,1,,Yes
1264,STJ2,1,,Ongoing
1265,STKR,1,3400000.0,No
1266,STLD,1,,Yes
1267,STP,1,,Ongoing
1268,STRA,1,,Yes
1269,STRC,1,,Yes
1270,STSA,1,,Ongoing
1271,STSI,1,,Ongoing
1272,STT,1,,Ongoing
1273,STU,1,,Yes
1274,STXS,1,,Yes
1275,SUBK,1,2800000.0,No
1276,SVM,1,14000000.0,No
1277,SVNT,1,,Yes
1278,SVNTQ,1,,Ongoing
1279,SVU,1,,Yes
1280,SWHC,1,,Yes
1281,SWI,1,,Ongoing
1282,SWIR,1,,Yes
1283,SWLBX,1,,Yes
1284,SWM,1,,Yes
1285,SWSH,1,5500000.0,No
1286,SWSI,1,,No
1287,SWWC,1,,Yes
1288,SWY,1,,Ongoing
1289,SWYPX,1,35000000.0,No
1290,SYK,1,,Yes
1291,SZYM,1,,Ongoing
1292,TAG,1,5750000.0,No
1293,TAP,1,6000000.0,No
1294,TARR,1,,Ongoing
1295,TASR,1,,No
1296,TBBK,1,,Ongoing
1297,TBET,1,,Ongoing
1298,TBL,1,,Yes
1299,TCHC,1,2240000.0,No
1300,TCPI,1,,Ongoing
1301,TEG,1,,Ongoing
1302,TELK,1,5000000.0,No
1303,TERN,1,5300000.0,No
1304,TEVA,1,,Ongoing
1305,TEX,1,,Ongoing
1306,TGIC,1,,Yes
1307,THLD,1,10000000.0,No
1308,THMRQ,1,11250000.0,No
1309,THO,1,,Yes
1310,THOR,1,,Ongoing
1311,THQI,1,,Ongoing
1312,TIBX,1,,Yes
1313,TIER.PK,1,,Yes
1314,TIN,1,,Yes
1315,TKLC,1,,Yes
1316,TKLC2,1,,Yes
1317,TLAB,1,,Ongoing
1318,TLB,1,,Yes
1319,TLEO,1,,Yes
1320,TLGD,1,,Yes
1321,TM,1,25500000.0,No
1322,TMA,1,2000000.0,Yes
1323,TMRK,1,,Yes
1324,TMX,1,,Yes
1325,TNAV,1,3800000.0,No
1326,TNCC,1,,Ongoing
1327,TNET,1,,Ongoing
1328,TNGO,1,,Ongoing
1329,TNS,1,3600000.0,No
1330,TOA,1,,Yes
1331,TOL,1,25000000.0,No
1332,TOMO,1,5000000.0,
1333,TONE,1,3100000.0,No
1334,TOPT,1,,No
1335,TOSYY,1,,Ongoing
1336,TPX,1,,Ongoing
1337,TRB,1,,Yes
1338,TRBN,1,,Yes
1339,TRIT,1,,Ongoing
1340,TRMM,1,,Yes
1341,TRMR,1,,Ongoing
1342,TRMS,1,,Yes
1343,TRN,1,,Yes
1344,TRQ,1,,Ongoing
1345,TRXAQ,1,37000000.0,No
1346,TSCDY,1,,Ongoing
1347,TSLA,1,,Ongoing
1348,TSON,1,,Ongoing
1349,TSTC,1,,Ongoing
1350,TTEK,1,,Ongoing
1351,TTI,1,8250000.0,No
1352,TTS,1,,Ongoing
1353,TTWO,1,20115000.0,No
1354,TUBM,1,600000.0,No
1355,TVIA,1,2850000.0,No
1356,TVIX,1,,Yes
1357,TWB,1,,Yes
1358,TWGP,1,,Ongoing
1359,TWP,1,,Yes
1360,TWR,1,5350000.0,No
1361,TXIC,1,3000000.0,No
1362,TXT,1,,Yes
1363,TXTR,1,,Ongoing
1364,TXU,1,,No
1365,TYC,1,,Yes
1366,TZOO,1,,Yes
1367,UAHC,1,,Yes
1368,UBNT,1,,Ongoing
1369,UBS,1,,Yes
1370,UCBH,1,,Ongoing
1371,UCOI.OB,1,,Yes
1372,UEC,1,,Ongoing
1373,UEPS,1,,Ongoing
1374,UFBV,1,,Yes
1375,UHCO,1,,Yes
1376,ULTA,1,3750000.0,No
1377,UNCLQ,1,,Yes
1378,UNH,1,925500000.0,No
1379,UNIS,1,,Ongoing
1380,UNTK,1,,Ongoing
1381,UNXL,1,,Yes
1382,UPI,1,,Ongoing
1383,URBN,1,,Ongoing
1384,URI,1,,Yes
1385,USNA,1,,Yes
1386,UTA,1,,Ongoing
1387,UTIW,1,,Ongoing
1388,UTSI,1,9500000.0,No
1389,UWBK,1,,Yes
1390,Undeterm,1,730000000.0,Yes
1391,VBIV,1,,Ongoing
1392,VC,1,,Yes
1393,VCGH,1,,Yes
1394,VCLK,1,10000000.0,Ongoing
1395,VCRA,1,,Ongoing
1396,VDSI,1,,Ongoing
1397,VE,1,,Yes
1398,VELT,1,,Ongoing
1399,VG,1,,Yes
1400,VICL,1,,Ongoing
1401,VIPS,1,,Ongoing
1402,VISG,1,2300000.0,No
1403,VITA,1,,No
1404,VITC,1,,Yes
1405,VLKAY,1,,Ongoing
1406,VLNCQ,1,,Yes
1407,VLRS,1,,Ongoing
1408,VLYF,1,,Ongoing
1409,VM,1,,NO
1410,VMEM,1,,Ongoing
1411,VMW,1,,Yes
1412,VNDA,1,,Ongoing
1413,VNET,1,,Ongoing
1414,VOD,1,,Yes
1415,VOXX,1,,Ongoing
1416,VPHM,1,,Ongoing
1417,VRSN,1,,Yes
1418,VRTS,1,,Ongoing
1419,VRTX,1,,Ongoing
1420,VSI,1,,Yes
1421,VSLR,1,,Ongoing
1422,VSNIE,1,25000000.0,No
1423,VSUNQ,1,,yes
1424,VTSS,1,7750000.0,No
1425,VTUS,1,,Yes
1426,VVUS,1,,Yes
1427,VWSYF,1,,Yes
1428,W,1,,Ongoing
1429,WAC,1,,Ongoing
1430,WAG,1,,Ongoing
1431,WAT,1,,Yes
1432,WATG,1,3000000.0,No
1433,WAVE,1,1400000.0,No
1434,WB,1,,Yes
1435,WBAI,1,,Ongoing
1436,WBMD,1,,Yes
1437,WCG,1,200000000.0,No
1438,WCRX,1,16500000.0,No
1439,WFC,1,,Yes
1440,WFII,1,4500000.0,No
1441,WFM,1,,Ongoing
1442,WFR,1,,Yes
1443,WFT,1,52500000.0,Ongoing
1444,WG,1,10500000.0,Ongoing
1445,WGRD,1,1750000.0,Yes
1446,WHAI,1,,No
1447,WHI,1,8750000.0,No
1448,WIBC,1,,Yes
1449,WITS,1,,Yes
1450,WL,1,,Ongoing
1451,WLP,1,,Yes
1452,WLRE,1,4900000.0,No
1453,WLRE.PK,1,2600000.0,No
1454,WLT,1,,Ongoing
1455,WM,1,208500000.0,No
1456,WMMVY,1,,Ongoing
1457,WMS,1,3700000.0,Ongoing
1458,WMT,1,,Ongoing
1459,WOLF,1,,Yes
1460,WPO,1,,Yes
1461,WRLD,1,,Ongoing
1462,WRSP,1,2375000.0,No
1463,WSFG,1,4900000.0,No
1464,WSH,1,,Ongoing
1465,WSTM,1,,No
1466,WTNY,1,,Yes
1467,WTW,1,,Ongoing
1468,WU,1,,Ongoing
1469,WWCC,1,,Yes
1470,WWE,1,,Ongoing
1471,WYE,1,67500000.0,Yes
1472,XFML,1,,Yes
1473,XIDE,1,13700000.0,Yes
1474,XING,1,2400000.0,Ongoing
1475,XJT,1,,Yes
1476,XMSR,1,,Yes
1477,XNET,1,,Ongoing
1478,XNL,1,2800000.0,No
1479,XNPT,1,,Yes
1480,XOMA,1,,Ongoing
1481,XOOM,1,,Yes
1482,XRM,1,3600000.0,No
1483,XXIA,1,,Ongoing
1484,XYBRE,1,6300000.0,No
1485,YELP,1,,Ongoing
1486,YGE,1,,Ongoing
1487,YHOO,1,,Yes
1488,YOKU,1,,Yes
1489,YONG,1,,Yes
1490,YPF,1,,Ongoing
1491,YRCW,1,,Ongoing
1492,YUII,1,2700000.0,No
1493,YUM,1,,Ongoing
1494,Z,1,,Yes
1495,ZAGG,1,,Ongoing
1496,ZILG,1,,Yes
1497,ZLC,1,5900000.0,No
1498,ZMH,1,,Yes
1499,ZNGA,1,,Ongoing
1500,ZOOG,1,,Yes
1501,ZQK,1,,Ongoing
1502,ZRAN,1,,Yes
1503,ZSTN,1,1700000.0,No
1504,ZUMZ,1,,Yes
1505,ZYXI,1,2500000.0,No
