,gvkey,fyear,datafmt,tic,conm,at,capx,cogs,cshfd,cshpri,dltt,dp,epsfi,epsfx,epspi,epspx,ib,ibmii,mii,ni,nopi,pi,ppent,reuna,sale,seq,teq,txt,wcap,xido,xint,xsga,cshtr_c,at,adjex_f
21,1429,2011,STD,2388B,AMERICAN CRYSTAL SUGAR CO,878.107,68.108,1127.336,,,128.64,56.8,,,,,52.315,58.34,6.025,52.315,1.503,60.211,491.239,,1542.777,316.545,361.499,1.871,53.11,0,10.284,289.649,,878.107,1
22,1429,2012,SUMM_STD,2388B,AMERICAN CRYSTAL SUGAR CO,899.48,50.389,1067.086,,,128.36,54.072,,,,,38.348,44.752,6.404,38.348,0.262,50.778,490.046,,1479.095,298.809,340.19,6.026,70.849,0,8.365,299.056,,899.48,1
23,1429,2012,STD,2388B,AMERICAN CRYSTAL SUGAR CO,899.48,50.389,1067.858,,,128.36,53.3,,,,,38.348,44.752,6.404,38.348,0.262,50.778,490.046,,1479.095,298.809,340.19,6.026,70.849,0,8.365,299.056,,899.48,1
24,1429,2013,SUMM_STD,2388B,AMERICAN CRYSTAL SUGAR CO,950.985,74.18,1183.902,,,128.06,55.312,,,,,42.818,48.801,5.983,42.818,-0.278,52.285,514.074,,1603.404,380.627,417.208,3.484,55.799,0,9.994,301.633,,950.985,1
25,1429,2013,STD,2388B,AMERICAN CRYSTAL SUGAR CO,950.985,74.18,1185.514,,,128.06,53.7,,,,,42.818,48.801,5.983,42.818,-0.278,52.285,514.074,,1603.404,380.627,417.208,3.484,55.799,0,9.994,301.633,,950.985,1
26,1659,2010,SUMM_STD,ANDE,ANDERSONS INC,1699.39,49.251,3071.999,18.507,18.356,276.825,38.913,3.48,3.48,3.51,3.51,64.662,64.881,0.219,64.662,43.159,104.143,319.515,316.317,3393.791,451.431,464.559,39.262,301.815,0,19.865,202.03,46902859,1699.39,1.5
27,1659,2010,STD,ANDE,ANDERSONS INC,1699.39,49.251,3075.812,18.507,18.356,276.825,35.1,3.48,3.48,3.51,3.51,64.662,64.881,0.219,64.662,35.359,104.143,319.515,316.317,3393.791,451.431,464.559,39.262,301.815,0,19.865,202.03,46902859,1699.39,1.5
28,1659,2011,SUMM_STD,ANDE,ANDERSONS INC,1734.123,108.323,4182.642,18.619,18.457,238.885,40.837,5.09,5.09,5.13,5.13,95.106,96.825,1.719,95.106,47.672,147.878,372.224,402.523,4576.331,523.995,538.842,51.053,312.971,0,25.256,227.39,42278882,1734.123,1.5
29,1659,2011,STD,ANDE,ANDERSONS INC,1734.123,108.323,4186.479,18.619,18.457,238.885,37,5.09,5.09,5.13,5.13,95.106,96.825,1.719,95.106,49.372,147.878,372.224,402.523,4576.331,523.995,538.842,51.053,312.971,0,25.256,227.39,42278882,1734.123,1.5
30,1659,2012,SUMM_STD,ANDE,ANDERSONS INC,2182.304,180.498,4865.028,18.693,18.523,427.243,48.977,4.23,4.23,4.27,4.27,79.48,75.565,-3.915,79.48,31.212,120.133,587.208,470.628,5272.01,594.413,611.445,44.568,304.346,0,22.155,246.929,35049260,2182.304,1.5
31,1659,2012,STD,ANDE,ANDERSONS INC,2182.304,180.498,4865.905,18.693,18.523,427.243,48.1,4.23,4.23,4.27,4.27,79.48,75.565,-3.915,79.48,27.112,120.133,587.208,470.628,5272.01,594.413,611.445,44.568,304.346,0,22.555,246.929,35049260,2182.304,1.5
32,1659,2013,SUMM_STD,ANDE,ANDERSONS INC,2273.556,139.37,5184.042,18.791,18.657,375.213,55.307,4.77,4.77,4.8,4.8,89.939,95.702,5.763,89.939,79.681,149.513,628.079,548.401,5604.574,701.474,724.421,53.811,229.451,0,20.86,274.533,32123722,2273.556,1.5
33,1659,2013,STD,ANDE,ANDERSONS INC,2273.556,139.37,5181.849,18.791,18.657,375.213,57.5,4.77,4.77,4.8,4.8,89.939,95.702,5.763,89.939,84.181,149.513,628.079,548.401,5604.574,701.474,724.421,53.811,229.451,0,21.46,274.533,32123722,2273.556,1.5
34,1722,2010,SUMM_STD,ADM,ARCHER-DANIELS-MIDLAND CO,31808,1607,56982,644,643,6830,857,3,3,3,3,1930,1919,-11,1930,562,2585,8712,10357,61682,14609,14631,666,,0,422,1398,1413262699,31808,1
35,1722,2010,STD,ADM,ARCHER-DANIELS-MIDLAND CO,31548,1607,56982,644,643,6830,857,3,3,3,3,1930,1919,-11,1930,712,2585,8712,10357,61682,14609,14631,666,9561,0,497,1398,1413262699,31548,1
36,1722,2011,SUMM_STD,ADM,ARCHER-DANIELS-MIDLAND CO,42352,1247,75549,654,642,8266,827,3.13,3.13,3.17,3.17,2036,2018,-18,2036,808,3015,9500,11996,80676,18808,18838,997,,0,482,1611,1546789438,42352,1
37,1722,2011,STD,ADM,ARCHER-DANIELS-MIDLAND CO,42193,1247,75549,654,642,8266,827,3.13,3.13,3.17,3.17,2036,2018,-18,2036,759,3015,9500,11996,80676,18808,18838,997,14286,0,489,1611,1546789438,42193,1
38,1722,2012,SUMM_STD,ADM,ARCHER-DANIELS-MIDLAND CO,41771,1477,84577,666,665,6535,793,1.84,1.84,1.84,1.84,1223,1242,19,1223,160,1765,9812,12774,89038,17969,18169,523,,0,441,1622,1208441233,41771,1
39,1722,2012,STD,ADM,ARCHER-DANIELS-MIDLAND CO,41553,1477,84577,666,665,6535,793,1.84,1.84,1.84,1.84,1223,1242,19,1223,634,1765,9812,12774,89038,17969,18169,523,12328,0,462,1622,1208441233,41553,1
40,1722,2013,SUMM_STD,ADM,ARCHER-DANIELS-MIDLAND CO,43752,913,85088,663,661,5347,827,2.02,2.02,2.03,2.03,1342,1354,12,1342,253,2024,10137,14077,89804,20156,20194,670,,0,413,1705,1055882913,43752,1
41,1722,2013,STD,ADM,ARCHER-DANIELS-MIDLAND CO,43752,913,85066,663,661,5347,849,2.02,2.02,2.03,2.03,1342,1354,12,1342,416,2024,10137,14077,89804,20156,20194,670,12872,0,429,1705,1055882913,43752,1
42,1728,2010,SUMM_STD,ARDNA,ARDEN GROUP INC  -CL A,127.884,2.597,252.199,3.161,3.161,1.228,5.307,5.72,5.72,5.72,5.72,18.085,18.085,0,18.085,0.842,30.331,38.247,81.784,417.065,84.527,84.527,12.246,51.062,0,0.084,129.986,544456,127.884,1
43,1728,2010,STD,ARDNA,ARDEN GROUP INC  -CL A,127.884,2.597,252.199,3.161,3.161,1.228,5.307,5.72,5.72,5.72,5.72,18.085,18.085,0,18.085,1.232,30.331,38.247,81.784,417.065,84.527,84.527,12.246,51.062,0,1.044,129.986,544456,127.884,1
44,1728,2011,SUMM_STD,ARDNA,ARDEN GROUP INC  -CL A,135.063,4.292,263.569,3.094,3.094,1.228,4.975,5.5,5.5,5.5,5.5,17.005,17.005,0,17.005,2.377,28.423,37.475,89.14,429.483,91.759,91.759,11.418,60.039,0,0.076,134.817,680113,135.063,1
45,1728,2011,STD,ARDNA,ARDEN GROUP INC  -CL A,135.063,4.292,263.569,3.094,3.094,1.228,4.975,5.5,5.5,5.5,5.5,17.005,17.005,0,17.005,0.248,28.423,37.475,89.14,429.483,91.759,91.759,11.418,60.039,0,0.076,134.817,680113,135.063,1
46,1728,2012,SUMM_STD,ARDNA,ARDEN GROUP INC  -CL A,90.047,5.734,266.211,3.071,3.071,1.228,4.953,6.16,6.16,6.16,6.16,18.919,18.919,0,18.919,0.167,31.659,38.074,43.568,439.038,46.194,46.194,12.74,14.334,0,0.083,136.299,425363,90.047,1
47,1728,2012,STD,ARDNA,ARDEN GROUP INC  -CL A,90.047,5.734,266.211,3.071,3.071,1.228,4.953,6.16,6.16,6.16,6.16,18.919,18.919,0,18.919,0.167,31.659,38.074,43.568,439.038,46.194,46.194,12.74,14.334,0,0.083,136.299,425363,90.047,1
48,1920,2010,SUMM_STD,AVP,AVON PRODUCTS,7873.7,,,431.35,428.75,2408.6,,1.39,1.29,1.4,,,566,3,,,,1627.4,4610.8,10754.2,1656.5,1672.6,,1228,,,,1108048289,7873.7,1
49,1920,2010,STD,AVP,AVON PRODUCTS,7873.7,331.2,3803.5,431.35,428.75,2408.6,158.3,1.39,1.36,1.4,1.37,590.9,595.2,4.3,605.9,10.2,945.4,1627.4,4610.8,10862.8,1656.5,1672.6,350.2,1228,15,91.8,5666.2,1108048289,7873.7,1
50,1920,2011,SUMM_STD,AVP,AVON PRODUCTS,7735,276.4,3832.7,432.1,430.5,2459.1,221.1,1.18,1.54,1.18,1.55,671.4,675.6,4.2,513.6,-58.6,980.1,1571.5,4726.1,11099.5,1570.4,1585.2,304.5,1207.8,-157.8,93.3,5913.7,1111956686,7735,1
51,1920,2011,STD,AVP,AVON PRODUCTS,7735,276.7,3941.9,432.1,430.5,2459.1,195.5,1.18,1.2,1.18,1.2,522.2,526.4,4.2,512.7,-18.7,742.6,1571.5,4726.1,11291.6,1570.4,1585.2,216.2,1207.8,-9.5,93.3,5996.6,1111956686,7735,1
52,1920,2012,SUMM_STD,AVP,AVON PRODUCTS,7382.5,228.5,3886.1,432.5,431.9,2623.8,212.5,-0.1,0.2,-0.1,0.2,89,93.3,4.3,-42.5,-158.7,428.7,1526,4357.8,10561.4,1217.1,1233.3,335.4,1224.3,-131.5,106.3,5769.1,1689932155,7382.5,1
53,1920,2012,STD,AVP,AVON PRODUCTS,7382.5,228.8,3976.6,431.9,431.9,2623.9,188.2,-0.1,-0.1,-0.1,-0.1,-42.5,-38.2,4.3,-42.5,-13.7,218.6,1550.2,4357.8,10717.1,1217.1,1233.3,256.8,1224.3,0,106.3,5859.8,1689932155,7382.5,1
54,1920,2013,SUMM_STD,AVP,AVON PRODUCTS,6492.3,197.3,3504,433.4,433.4,2532.7,224.6,-0.13,-0.01,-0.13,-0.01,-5.5,-1,4.5,-55.9,-506.4,162.6,1393.3,4196.7,9955,1110.1,1127.5,163.6,1238.6,-50.4,122,5435.4,1058482703,6492.3,1
