,gvkey,fyear,datafmt,tic,conm,Sum,diff,,at,capx,cogs,cshfd,cshpri,dltt,dp,epsfi,epsfx,epspi,epspx,ib,ibmii,mii,ni,nopi,pi,ppent,reuna,sale,seq,teq,txt,wcap,xido,xint,xsga,cshtr_c,at,adjex_f
20,1728,2012,SUMM_STD,ARDNA,ARDEN GROUP INC  -CL A,426718.109,0,,90.047,5.734,266.211,3.071,3.071,1.228,4.953,6.16,6.16,6.16,6.16,18.919,18.919,0,18.919,0.167,31.659,38.074,43.568,439.038,46.194,46.194,12.74,14.334,0,0.083,136.299,425363,90.047,1
21,1728,2012,STD,ARDNA,ARDEN GROUP INC  -CL A,426718.109,0,,90.047,5.734,266.211,3.071,3.071,1.228,4.953,6.16,6.16,6.16,6.16,18.919,18.919,0,18.919,0.167,31.659,38.074,43.568,439.038,46.194,46.194,12.74,14.334,0,0.083,136.299,425363,90.047,1
22,1920,2010,SUMM_STD,AVP,AVON PRODUCTS,,,,7873.7,,,431.35,428.75,2408.6,,1.39,1.29,1.4,,,566,3,,,,1627.4,4610.8,10754.2,1656.5,1672.6,,1228,,,,1108048289,7873.7,1
23,1920,2010,STD,AVP,AVON PRODUCTS,,,,7873.7,331.2,3803.5,431.35,428.75,2408.6,158.3,1.39,1.36,1.4,1.37,590.9,595.2,4.3,605.9,10.2,945.4,1627.4,4610.8,10862.8,1656.5,1672.6,350.2,1228,15,91.8,5666.2,1108048289,7873.7,1
24,1920,2011,SUMM_STD,AVP,AVON PRODUCTS,1112010515,78.68999982,,7735,276.4,3832.7,432.1,430.5,2459.1,221.1,1.18,1.54,1.18,1.55,671.4,675.6,4.2,513.6,-58.6,980.1,1571.5,4726.1,11099.5,1570.4,1585.2,304.5,1207.8,-157.8,93.3,5913.7,1111956686,7735,1
25,1920,2011,STD,AVP,AVON PRODUCTS,1112010436,78.68999982,,7735,276.7,3941.9,432.1,430.5,2459.1,195.5,1.18,1.2,1.18,1.2,522.2,526.4,4.2,512.7,-18.7,742.6,1571.5,4726.1,11291.6,1570.4,1585.2,216.2,1207.8,-9.5,93.3,5996.6,1111956686,7735,1
26,1920,2012,SUMM_STD,AVP,AVON PRODUCTS,1689981350,-60.79999995,,7382.5,228.5,3886.1,432.5,431.9,2623.8,212.5,-0.1,0.2,-0.1,0.2,89,93.3,4.3,-42.5,-158.7,428.7,1526,4357.8,10561.4,1217.1,1233.3,335.4,1224.3,-131.5,106.3,5769.1,1689932155,7382.5,1
27,1920,2012,STD,AVP,AVON PRODUCTS,1689981411,-60.79999995,,7382.5,228.8,3976.6,431.9,431.9,2623.9,188.2,-0.1,-0.1,-0.1,-0.1,-42.5,-38.2,4.3,-42.5,-13.7,218.6,1550.2,4357.8,10717.1,1217.1,1233.3,256.8,1224.3,0,106.3,5859.8,1689932155,7382.5,1
28,1920,2013,SUMM_STD,AVP,AVON PRODUCTS,1058527304,-483.9,,6492.3,197.3,3504,433.4,433.4,2532.7,224.6,-0.13,-0.01,-0.13,-0.01,-5.5,-1,4.5,-55.9,-506.4,162.6,1393.3,4196.7,9955,1110.1,1127.5,163.6,1238.6,-50.4,122,5435.4,1058482703,6492.3,1
29,1920,2013,STD,AVP,AVON PRODUCTS,1058527788,-483.9,,6492.3,197.3,3504,433.4,433.4,2532.7,224.6,-0.13,-0.01,-0.13,-0.01,-5.5,-1,4.5,-55.9,-22.5,162.6,1393.3,4196.7,9955,1110.1,1127.5,163.6,1238.6,-50.4,122,5435.4,1058482703,6492.3,1
